,#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
298,233,Porygon2,Normal,515,85,80,90,105,95,60
299,234,Stantler,Normal,465,73,95,62,85,65,85
300,235,Smeargle,Normal,250,55,20,35,20,45,75
301,236,Tyrogue,Fighting,210,35,35,35,35,35,35
302,237,Hitmontop,Fighting,455,50,95,95,35,110,70
303,238,Smoochum,Ice  Psychic,305,45,30,15,85,65,65
304,239,Elekid,Electric,360,45,63,37,65,55,95
305,240,Magby,Fire,365,45,75,37,70,55,83
306,241,Miltank,Normal,490,95,80,105,40,70,100
307,242,Blissey,Normal,540,255,10,10,75,135,55
308,243,Raikou,Electric,580,90,85,75,115,100,115
309,244,Entei,Fire,580,115,115,85,90,75,100
310,245,Suicune,Water,580,100,75,115,90,115,85
311,246,Larvitar,Rock  Ground,300,50,64,50,45,50,41
312,247,Pupitar,Rock  Ground,410,70,84,70,65,70,51
313,248,Tyranitar,Rock  Dark,600,100,134,110,95,100,61
314,248,Tyranitar  Mega Tyranitar,Rock  Dark,700,100,164,150,95,120,71
315,249,Lugia,Psychic  Flying,680,106,90,130,90,154,110
316,250,Ho-oh,Fire  Flying,680,106,130,90,110,154,90
317,251,Celebi,Psychic  Grass,600,100,100,100,100,100,100
318,252,Treecko,Grass,310,40,45,35,65,55,70
319,253,Grovyle,Grass,405,50,65,45,85,65,95
320,254,Sceptile,Grass,530,70,85,65,105,85,120
321,254,Sceptile  Mega Sceptile,Grass  Dragon,630,70,110,75,145,85,145
322,255,Torchic,Fire,310,45,60,40,70,50,45
323,256,Combusken,Fire  Fighting,405,60,85,60,85,60,55
324,257,Blaziken,Fire  Fighting,530,80,120,70,110,70,80
325,257,Blaziken  Mega Blaziken,Fire  Fighting,630,80,160,80,130,80,100
326,258,Mudkip,Water,310,50,70,50,50,50,40
327,259,Marshtomp,Water  Ground,405,70,85,70,60,70,50
328,260,Swampert,Water  Ground,535,100,110,90,85,90,60
329,260,Swampert  Mega Swampert,Water  Ground,635,100,150,110,95,110,70
330,261,Poochyena,Dark,220,35,55,35,30,30,35
331,262,Mightyena,Dark,420,70,90,70,60,60,70
332,263,Zigzagoon,Normal,240,38,30,41,30,41,60
333,263,Zigzagoon  Galarian Zigzagoon,Dark  Normal,240,38,30,41,30,41,60
334,264,Linoone,Normal,420,78,70,61,50,61,100
335,264,Linoone  Galarian Linoone,Dark  Normal,420,78,70,61,50,61,100
336,265,Wurmple,Bug,195,45,45,35,20,30,20
337,266,Silcoon,Bug,205,50,35,55,25,25,15
338,267,Beautifly,Bug  Flying,395,60,70,50,100,50,65
339,268,Cascoon,Bug,205,50,35,55,25,25,15
340,269,Dustox,Bug  Poison,385,60,50,70,50,90,65
341,270,Lotad,Water  Grass,220,40,30,30,40,50,30
342,271,Lombre,Water  Grass,340,60,50,50,60,70,50
343,272,Ludicolo,Water  Grass,480,80,70,70,90,100,70
344,273,Seedot,Grass,220,40,40,50,30,30,30
345,274,Nuzleaf,Grass  Dark,340,70,70,40,60,40,60
346,275,Shiftry,Grass  Dark,480,90,100,60,90,60,80
347,276,Taillow,Normal  Flying,270,40,55,30,30,30,85
348,277,Swellow,Normal  Flying,455,60,85,60,75,50,125
349,278,Wingull,Water  Flying,270,40,30,30,55,30,85
350,279,Pelipper,Water  Flying,440,60,50,100,95,70,65
351,280,Ralts,Psychic  Fairy,198,28,25,25,45,35,40
352,281,Kirlia,Psychic  Fairy,278,38,35,35,65,55,50
353,282,Gardevoir,Psychic  Fairy,518,68,65,65,125,115,80
354,282,Gardevoir  Mega Gardevoir,Psychic  Fairy,618,68,85,65,165,135,100
355,283,Surskit,Bug  Water,269,40,30,32,50,52,65
356,284,Masquerain,Bug  Flying,454,70,60,62,100,82,80
357,285,Shroomish,Grass,295,60,40,60,40,60,35
358,286,Breloom,Grass  Fighting,460,60,130,80,60,60,70
359,287,Slakoth,Normal,280,60,60,60,35,35,30
360,288,Vigoroth,Normal,440,80,80,80,55,55,90
361,289,Slaking,Normal,670,150,160,100,95,65,100
362,290,Nincada,Bug  Ground,266,31,45,90,30,30,40
363,291,Ninjask,Bug  Flying,456,61,90,45,50,50,160
364,292,Shedinja,Bug  Ghost,236,1,90,45,30,30,40
365,293,Whismur,Normal,240,64,51,23,51,23,28
366,294,Loudred,Normal,360,84,71,43,71,43,48
367,295,Exploud,Normal,490,104,91,63,91,73,68
368,296,Makuhita,Fighting,237,72,60,30,20,30,25
369,297,Hariyama,Fighting,474,144,120,60,40,60,50
370,298,Azurill,Normal  Fairy,190,50,20,40,20,40,20
371,299,Nosepass,Rock,375,30,45,135,45,90,30
372,300,Skitty,Normal,260,50,45,45,35,35,50
373,301,Delcatty,Normal,400,70,65,65,55,55,90
374,302,Sableye,Dark  Ghost,380,50,75,75,65,65,50
375,302,Sableye  Mega Sableye,Dark  Ghost,480,50,85,125,85,115,20
376,303,Mawile,Steel  Fairy,380,50,85,85,55,55,50
377,303,Mawile  Mega Mawile,Steel  Fairy,480,50,105,125,55,95,50
378,304,Aron,Steel  Rock,330,50,70,100,40,40,30
379,305,Lairon,Steel  Rock,430,60,90,140,50,50,40
380,306,Aggron,Steel  Rock,530,70,110,180,60,60,50
381,306,Aggron  Mega Aggron,Steel,630,70,140,230,60,80,50
382,307,Meditite,Fighting  Psychic,280,30,40,55,40,55,60
383,308,Medicham,Fighting  Psychic,410,60,60,75,60,75,80
384,308,Medicham  Mega Medicham,Fighting  Psychic,510,60,100,85,80,85,100
385,309,Electrike,Electric,295,40,45,40,65,40,65
386,310,Manectric,Electric,475,70,75,60,105,60,105
387,310,Manectric  Mega Manectric,Electric,575,70,75,80,135,80,135
388,311,Plusle,Electric,405,60,50,40,85,75,95
389,312,Minun,Electric,405,60,40,50,75,85,95
390,313,Volbeat,Bug,430,65,73,75,47,85,85
391,314,Illumise,Bug,430,65,47,75,73,85,85
392,315,Roselia,Grass  Poison,400,50,60,45,100,80,65
393,316,Gulpin,Poison,302,70,43,53,43,53,40
394,317,Swalot,Poison,467,100,73,83,73,83,55
395,318,Carvanha,Water  Dark,305,45,90,20,65,20,65
396,319,Sharpedo,Water  Dark,460,70,120,40,95,40,95
397,319,Sharpedo  Mega Sharpedo,Water  Dark,560,70,140,70,110,65,105
398,320,Wailmer,Water,400,130,70,35,70,35,60
399,321,Wailord,Water,500,170,90,45,90,45,60
400,322,Numel,Fire  Ground,305,60,60,40,65,45,35
401,323,Camerupt,Fire  Ground,460,70,100,70,105,75,40
402,323,Camerupt  Mega Camerupt,Fire  Ground,560,70,120,100,145,105,20
403,324,Torkoal,Fire,470,70,85,140,85,70,20
404,325,Spoink,Psychic,330,60,25,35,70,80,60
405,326,Grumpig,Psychic,470,80,45,65,90,110,80
406,327,Spinda,Normal,360,60,60,60,60,60,60
407,328,Trapinch,Ground,290,45,100,45,45,45,10
408,329,Vibrava,Ground  Dragon,340,50,70,50,50,50,70
409,330,Flygon,Ground  Dragon,520,80,100,80,80,80,100
410,331,Cacnea,Grass,335,50,85,40,85,40,35
411,332,Cacturne,Grass  Dark,475,70,115,60,115,60,55
412,333,Swablu,Normal  Flying,310,45,40,60,40,75,50
413,334,Altaria,Dragon  Flying,490,75,70,90,70,105,80
414,334,Altaria  Mega Altaria,Dragon  Fairy,590,75,110,110,110,105,80
415,335,Zangoose,Normal,458,73,115,60,60,60,90
416,336,Seviper,Poison,458,73,100,60,100,60,65
417,337,Lunatone,Rock  Psychic,460,90,55,65,95,85,70
418,338,Solrock,Rock  Psychic,460,90,95,85,55,65,70
419,339,Barboach,Water  Ground,288,50,48,43,46,41,60
420,340,Whiscash,Water  Ground,468,110,78,73,76,71,60
421,341,Corphish,Water,308,43,80,65,50,35,35
422,342,Crawdaunt,Water  Dark,468,63,120,85,90,55,55
423,343,Baltoy,Ground  Psychic,300,40,40,55,40,70,55
424,344,Claydol,Ground  Psychic,500,60,70,105,70,120,75
425,345,Lileep,Rock  Grass,355,66,41,77,61,87,23
426,346,Cradily,Rock  Grass,495,86,81,97,81,107,43
427,347,Anorith,Rock  Bug,355,45,95,50,40,50,75
428,348,Armaldo,Rock  Bug,495,75,125,100,70,80,45
429,349,Feebas,Water,200,20,15,20,10,55,80
430,350,Milotic,Water,540,95,60,79,100,125,81
431,351,Castform,Normal,420,70,70,70,70,70,70
432,351,Castform  Sunny Form,Fire,420,70,70,70,70,70,70
433,351,Castform  Rainy Form,Water,420,70,70,70,70,70,70
434,351,Castform  Snowy Form,Ice,420,70,70,70,70,70,70
435,352,Kecleon,Normal,440,60,90,70,60,120,40
436,353,Shuppet,Ghost,295,44,75,35,63,33,45
437,354,Banette,Ghost,455,64,115,65,83,63,65
